timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note
2026-07-20 17:16:31,15000188,321530,21435068,-172.3896,
2026-07-20 17:16:32,15000038,321526,21435000,-172.3900,
2026-07-20 17:16:33,14999992,321524,21434958,-172.3903,
2026-07-20 17:16:34,14999668,321516,21434850,-172.3909,
2026-07-20 17:16:35,14999882,321520,21434814,-172.3911,
2026-07-20 17:16:36,14999884,321519,21434756,-172.3915,
2026-07-20 17:16:37,15000006,321521,21434708,-172.3918,
2026-07-20 17:16:38,15000022,321521,21434668,-172.3920,
2026-07-20 17:16:39,14999990,321518,21434574,-172.3926,
2026-07-20 17:16:40,15000180,321522,21434558,-172.3927,
2026-07-20 17:16:41,15000134,321521,21434522,-172.3929,
2026-07-20 17:16:42,15000184,321520,21434428,-172.3934,
2026-07-20 17:16:43,14999254,321497,21434214,-172.3947,
2026-07-20 17:16:44,14999226,321496,21434182,-172.3949,
2026-07-20 17:16:45,14999308,321498,21434172,-172.3950,
2026-07-20 17:16:46,14999314,321497,21434134,-172.3952,
2026-07-20 17:16:47,14999280,321495,21434028,-172.3958,
2026-07-20 17:16:48,14999320,321495,21433958,-172.3963,
2026-07-20 17:16:49,14999520,321499,21433922,-172.3965,
2026-07-20 17:16:50,14999594,321500,21433884,-172.3967,
2026-07-20 17:16:51,14999752,321503,21433866,-172.3968,
2026-07-20 17:16:52,14999712,321501,21433790,-172.3973,
2026-07-20 17:16:53,14999700,321499,21433718,-172.3977,
2026-07-20 17:16:54,14999552,321495,21433632,-172.3982,
2026-07-20 17:16:55,14999664,321496,21433550,-172.3987,
2026-07-20 17:16:56,14999720,321497,21433528,-172.3988,
2026-07-20 17:16:57,14999800,321498,21433496,-172.3990,
2026-07-20 17:16:58,14999850,321498,21433430,-172.3994,
2026-07-20 17:16:59,15000140,321504,21433424,-172.3995,
2026-07-20 17:17:00,15000152,321504,21433366,-172.3998,
2026-07-20 17:17:01,14999982,321499,21433320,-172.4001,
2026-07-20 17:17:02,15000072,321501,21433274,-172.4004,
2026-07-20 17:17:03,15000204,321503,21433228,-172.4006,
2026-07-20 17:17:04,15000116,321500,21433180,-172.4009,
2026-07-20 17:17:05,15000096,321498,21433086,-172.4015,
2026-07-20 17:17:06,15000156,321499,21433060,-172.4016,
2026-07-20 17:17:07,15000062,321496,21432950,-172.4023,
2026-07-20 17:17:08,14999972,321493,21432886,-172.4027,
2026-07-20 17:17:09,15000072,321495,21432866,-172.4028,
2026-07-20 17:17:10,14999962,321492,21432828,-172.4030,
2026-07-20 17:17:11,15000130,321494,21432740,-172.4036,
2026-07-20 17:17:12,14999930,321489,21432702,-172.4038,
2026-07-20 17:17:13,14999770,321486,21432698,-172.4038,
2026-07-20 17:17:14,14999810,321486,21432664,-172.4040,
2026-07-20 17:17:15,14999754,321484,21432592,-172.4044,
2026-07-20 17:17:16,14999676,321481,21432512,-172.4049,
2026-07-20 17:17:17,14999832,321484,21432494,-172.4050,
2026-07-20 17:17:18,14999958,321486,21432436,-172.4054,
2026-07-20 17:17:19,15000072,321487,21432384,-172.4057,
2026-07-20 17:17:20,15000222,321491,21432386,-172.4057,
2026-07-20 17:17:21,15000438,321494,21432338,-172.4060,
2026-07-20 17:17:22,14999638,321475,21432178,-172.4069,
2026-07-20 17:17:23,15000026,321483,21432164,-172.4070,
2026-07-20 17:17:24,14999350,321466,21432010,-172.4079,
2026-07-20 17:17:25,14999652,321473,21432004,-172.4080,
2026-07-20 17:17:26,14999796,321475,21431970,-172.4082,
2026-07-20 17:17:27,14999856,321476,21431970,-172.4082,
2026-07-20 17:17:28,14999966,321479,21431948,-172.4083,
2026-07-20 17:17:29,15000218,321484,21431978,-172.4081,
2026-07-20 17:17:30,15000190,321483,21431930,-172.4084,
2026-07-20 17:17:31,14999490,321465,21431742,-172.4095,
2026-07-20 17:17:32,14999832,321473,21431756,-172.4095,
2026-07-20 17:17:33,14999864,321473,21431708,-172.4098,
2026-07-20 17:17:34,15000094,321477,21431688,-172.4099,
2026-07-20 17:17:35,15000062,321476,21431644,-172.4101,
2026-07-20 17:17:36,15000214,321478,21431590,-172.4105,
2026-07-20 17:17:37,15000254,321479,21431576,-172.4105,
2026-07-20 17:17:38,15000246,321477,21431468,-172.4112,
2026-07-20 17:17:39,15000298,321478,21431450,-172.4113,
2026-07-20 17:17:40,15000270,321477,21431438,-172.4114,
2026-07-20 17:17:41,15000108,321473,21431358,-172.4119,
2026-07-20 17:17:42,15000026,321470,21431316,-172.4121,
2026-07-20 17:17:43,14999918,321467,21431252,-172.4125,
2026-07-20 17:17:44,15000030,321469,21431212,-172.4127,
2026-07-20 17:17:45,15000022,321468,21431146,-172.4131,
2026-07-20 17:17:46,15000214,321472,21431178,-172.4129,
2026-07-20 17:17:47,15000272,321473,21431138,-172.4132,
2026-07-20 17:17:48,15000250,321471,21431064,-172.4136,
2026-07-20 17:17:49,15000356,321474,21431086,-172.4135,
2026-07-20 17:17:50,15000388,321474,21431048,-172.4137,
2026-07-20 17:17:51,15000302,321471,21430970,-172.4142,
2026-07-20 17:17:52,15000328,321471,21430928,-172.4144,
2026-07-20 17:17:53,15000358,321471,21430902,-172.4146,
2026-07-20 17:17:54,15000306,321469,21430842,-172.4149,
