target_current_mA,sample_start,sample_end,sample_count,resistance_mean_ohm,resistance_std_ohm,resistance_sem_ohm,resistance_min_ohm,resistance_max_ohm,error_mohm,error_ppm,relative_error_percent
0.3,2026-08-05 10:27:18.129,2026-08-05 10:27:37.648,79,149.999703494,0.007929109,0.000892094,149.980976000,150.017600000,-2.296506,-15.310,-0.001530984
0.4,2026-08-05 10:27:42.845,2026-08-05 10:28:40.644,232,150.000783103,0.008238179,0.000540863,149.972384000,150.021440000,-1.216897,-8.113,-0.000811254
0.5,2026-08-05 10:28:46.044,2026-08-05 10:29:40.245,218,150.001055339,0.007548201,0.000511229,149.981984000,150.023456000,-0.944661,-6.298,-0.000629765
0.6,2026-08-05 10:29:45.729,2026-08-05 10:31:03.729,313,149.999425534,0.006061270,0.000342603,149.984048000,150.015648000,-2.574466,-17.163,-0.001716288
0.7,2026-08-05 10:31:09.329,2026-08-05 10:32:08.329,237,150.002905992,0.004779011,0.000310430,149.987488000,150.013632000,+0.905992,+6.040,+0.000603986
0.8,2026-08-05 10:32:13.729,2026-08-05 10:33:00.244,187,150.000006246,0.003907159,0.000285720,149.986880000,150.010352000,-1.993754,-13.292,-0.001329152
0.9,2026-08-05 10:33:05.729,2026-08-05 10:33:50.044,178,149.998486202,0.004079546,0.000305775,149.987472000,150.009200000,-3.513798,-23.425,-0.002342501
1,2026-08-05 10:33:55.447,2026-08-05 10:34:33.445,153,149.998154876,0.002885526,0.000233281,149.990400000,150.005536000,-3.845124,-25.634,-0.002563382
1.5,2026-08-05 10:34:38.646,2026-08-05 10:35:04.444,104,149.999096154,0.002059356,0.000201936,149.994912000,150.005104000,-2.903846,-19.359,-0.001935872
2,2026-08-05 10:35:09.929,2026-08-05 10:35:40.644,124,149.998999097,0.001557059,0.000139828,149.995472000,150.002304000,-3.000903,-20.006,-0.002000575
3,2026-08-05 10:35:46.130,2026-08-05 10:36:19.129,133,149.999648842,0.001080676,0.000093707,149.997104000,150.002352000,-2.351158,-15.674,-0.001567418
4,2026-08-05 10:36:24.645,2026-08-05 10:37:25.649,245,149.999878792,0.000869205,0.000055531,149.997632000,150.002000000,-2.121208,-14.141,-0.001414120
5,2026-08-05 10:37:31.129,2026-08-05 10:38:28.130,229,149.999777118,0.000560444,0.000037035,149.998352000,150.001232000,-2.222882,-14.819,-0.001481902
6,2026-08-05 10:38:33.447,2026-08-05 10:39:57.245,336,149.999674476,0.000670158,0.000036560,149.997888000,150.001600000,-2.325524,-15.503,-0.001550329
7,2026-08-05 10:40:02.445,2026-08-05 10:40:25.045,91,149.999799560,0.000398642,0.000041789,149.998880000,150.000560000,-2.200440,-14.669,-0.001466940
8,2026-08-05 10:40:30.529,2026-08-05 10:41:36.045,263,149.999550053,0.000411957,0.000025402,149.998320000,150.000752000,-2.449947,-16.333,-0.001633276
9,2026-08-05 10:41:41.447,2026-08-05 10:42:32.930,207,149.999606106,0.000441420,0.000030681,149.998656000,150.000800000,-2.393894,-15.959,-0.001595908
10,2026-08-05 10:42:38.530,2026-08-05 10:43:34.045,223,149.999482978,0.000330243,0.000022115,149.998544000,150.000192000,-2.517022,-16.780,-0.001677993
11,2026-08-05 10:43:39.447,2026-08-05 10:44:41.244,248,149.999433419,0.000318015,0.000020194,149.998624000,150.000560000,-2.566581,-17.110,-0.001711031
12,2026-08-05 10:44:46.444,2026-08-05 10:46:01.729,302,149.999313166,0.000273508,0.000015739,149.998592000,150.000160000,-2.686834,-17.912,-0.001791199
