timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note,elapsed_s,current_adc_status,voltage_adc_status,control_mode,control_enabled,control_fault,control_status,target_current_mA,measured_current_mA,measured_voltage_mV,measured_resistance_ohm,target_temp_C,measured_temp_C,temperature_error_C,temperature_integral_mA,drive_mV,power_uW
2026-08-06 16:27:55.940,275578,41352,150054656,1180.485301,,0.369,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:56.884,275572,41351,150054656,1180.485301,,1.313,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:57.385,275565,41350,150054512,1180.483780,,1.814,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:57.940,275560,41349,150054816,1180.486990,,2.369,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:58.885,275558,41349,150054128,1180.479725,,3.314,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:59.386,275544,41347,150054416,1180.482766,,3.815,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:27:59.940,275533,41345,150055056,1180.489524,,4.369,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:28:00.885,275527,41344,150054656,1180.485301,,5.315,0x00,0x00,OFF,0,0,OK,,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:28:01.384,275523,41343,150054416,1180.482766,,5.814,0x00,0x00,CURRENT,0,0,OK,0.3,0.0,0.0,0.0,,0.0,,,0.0,0.0
2026-08-06 16:28:02.226,278725,41830,150076544,1180.716431,,6.655,0x00,0x00,CURRENT,1,0,OK,0.3,0.275,41.0,150.072,,1180.671,,,0.0,11.0
2026-08-06 16:28:03.041,279059,41880,150077488,1180.726399,,7.470,0x00,0x00,CURRENT,1,0,OK,0.3,0.275,41.0,150.072,,1180.671,,,0.0,11.0
2026-08-06 16:28:03.940,279543,41953,150078560,1180.737719,,8.369,0x00,0x00,CURRENT,1,0,OK,0.3,0.276,41.0,150.074,,1180.688,,,0.0,11.0
2026-08-06 16:28:05.255,280344,42074,150080048,1180.753432,,9.684,0x00,0x00,CURRENT,1,0,OK,0.3,0.276,41.0,150.074,,1180.688,,,0.0,11.0
2026-08-06 16:28:06.089,281280,42215,150080480,1180.757993,,10.518,0x00,0x00,CURRENT,1,0,OK,0.3,0.278,42.0,150.077,,1180.717,,,1.0,12.0
2026-08-06 16:28:06.904,282337,42374,150081504,1180.768807,,11.333,0x00,0x00,CURRENT,1,0,OK,0.3,0.278,42.0,150.077,,1180.717,,,1.0,12.0
2026-08-06 16:28:07.719,283512,42550,150082128,1180.775396,,12.148,0x00,0x00,CURRENT,1,0,OK,0.3,0.278,42.0,150.077,,1180.717,,,1.0,12.0
2026-08-06 16:28:08.553,284795,42743,150082656,1180.780971,,12.982,0x00,0x00,CURRENT,1,0,OK,0.3,0.282,42.0,150.08,,1180.754,,,1.0,12.0
2026-08-06 16:28:09.385,286181,42951,150083280,1180.787561,,13.815,0x00,0x00,CURRENT,1,0,OK,0.3,0.282,42.0,150.08,,1180.754,,,1.0,12.0
2026-08-06 16:28:10.220,287663,43174,150084336,1180.798712,,14.649,0x00,0x00,CURRENT,1,0,OK,0.3,0.285,43.0,150.082,,1180.77,,,1.0,12.0
2026-08-06 16:28:11.035,289251,43412,150084736,1180.802935,,15.464,0x00,0x00,CURRENT,1,0,OK,0.3,0.285,43.0,150.082,,1180.77,,,1.0,12.0
2026-08-06 16:28:11.941,290755,43638,150085184,1180.807666,,16.371,0x00,0x00,CURRENT,1,0,OK,0.3,0.288,43.0,150.083,,1180.781,,,1.0,12.0
2026-08-06 16:28:13.256,292342,43876,150085152,1180.807328,,17.686,0x00,0x00,CURRENT,1,0,OK,0.3,0.288,43.0,150.083,,1180.781,,,1.0,12.0
2026-08-06 16:28:14.090,294027,44129,150085872,1180.814931,,18.520,0x00,0x00,CURRENT,1,0,OK,0.3,0.293,44.0,150.084,,1180.796,,,1.0,13.0
2026-08-06 16:28:14.906,295627,44369,150086336,1180.819831,,19.336,0x00,0x00,CURRENT,1,0,OK,0.3,0.293,44.0,150.084,,1180.796,,,1.0,13.0
2026-08-06 16:28:15.720,297146,44598,150086992,1180.826758,,20.150,0x00,0x00,CURRENT,1,0,OK,0.3,0.293,44.0,150.084,,1180.796,,,1.0,13.0
