line,section_line,ref_line,target_mA,ref_nominal_ohm,ref_mean_ohm,ref_std_mohm,ref_count,ref_match_delta_mohm,sample_count,I_mean_mA,I_std_uA,V_mean_mV,V_std_mV,R_mean_ohm,R_std_mohm,R_error_mohm,fit_slope,fit_intercept_mohm,fit_r2,fit_residual_mohm,statuses
54,53,2,5,1,1.028689500,0.018500,2,-1.836800,20,4.998330200,0.060267,5.132550,0.000497,1.026852700,0.048611,-1.836800,0.999999115349,13.728870,0.999999966482,-15.564760,0x00/0x00
77,53,4,5,2,2.027945000,0.015000,2,-0.943400,20,4.999153200,0.606946,10.133350,0.001236,2.027001600,0.046768,-0.943400,0.999999115349,13.728870,0.999999966482,-14.670476,0x00/0x00
100,53,6,5,3,3.027370000,0.060000,2,0.300950,20,4.998396800,0.057720,15.133700,0.000458,3.027670950,0.044429,0.300950,0.999999115349,13.728870,0.999999966482,-13.425242,0x00/0x00
123,53,8,5,5,5.027675000,0.025000,2,1.299000,20,5.001506450,0.659704,25.152500,0.003263,5.028974000,0.040807,1.299000,0.999999115349,13.728870,0.999999966482,-12.425422,0x00/0x00
146,53,10,5,7,7.027315000,0.015000,2,3.571550,20,5.001613550,0.705260,35.165850,0.005092,7.030886550,0.031865,3.571550,0.999999115349,13.728870,0.999999966482,-10.151103,0x00/0x00
169,53,12,5,10,10.031980000,0.230000,2,6.530000,20,4.998798550,0.043323,50.180600,0.000490,10.038510000,0.055703,6.530000,0.999999115349,13.728870,0.999999966482,-7.189995,0x00/0x00
192,53,14,5,20,20.031100000,2.600000,2,8.679000,20,4.999296800,0.071732,100.184900,0.001375,20.039779000,0.073279,8.679000,0.999999115349,13.728870,0.999999966482,-5.032149,0x00/0x00
215,53,16,5,30,30.029550000,0.150000,2,18.947300,20,4.999395650,0.074404,150.224450,0.001687,30.048497300,0.204497,18.947300,0.999999115349,13.728870,0.999999966482,5.244996,0x00/0x00
238,53,18,5,40,40.028200000,1.400000,2,22.216200,20,5.001948200,0.749068,200.330050,0.029911,40.050416200,0.138122,22.216200,0.999999115349,13.728870,0.999999966482,8.522741,0x00/0x00
261,53,20,5,50,50.035750000,1.050000,2,27.571200,20,4.997861300,0.627308,250.209500,0.031354,50.063321200,0.247477,27.571200,0.999999115349,13.728870,0.999999966482,13.886594,0x00/0x00
284,53,22,5,60,60.041000000,0.700000,2,30.418600,20,5.000293950,0.040386,300.374700,0.002848,60.071418600,0.288719,30.418600,0.999999115349,13.728870,0.999999966482,16.742846,0x00/0x00
307,53,24,5,70,70.034650000,0.150000,2,33.445600,20,5.000067900,0.046789,350.345200,0.002088,70.068095600,0.278297,33.445600,0.999999115349,13.728870,0.999999966482,19.778686,0x00/0x00
330,53,26,5,80,80.040200000,1.000000,2,29.780800,20,4.999406250,0.688088,400.302400,0.055589,80.069980800,0.330366,29.780800,0.999999115349,13.728870,0.999999966482,16.122738,0x00/0x00
353,53,28,5,90,90.030950000,0.250000,2,33.177600,20,4.999849300,0.041506,450.307100,0.001546,90.064127600,0.568853,33.177600,0.999999115349,13.728870,0.999999966482,19.528376,0x00/0x00
376,53,30,5,100,100.041000000,0.400000,2,30.194000,20,4.999906450,0.045953,500.346550,0.003735,100.071194000,0.721456,30.194000,0.999999115349,13.728870,0.999999966482,16.553632,0x00/0x00
399,53,32,5,110,110.045950000,0.750000,2,26.210000,20,4.999731000,0.690432,550.331200,0.075957,110.072160000,0.444126,26.210000,0.999999115349,13.728870,0.999999966482,12.578483,0x00/0x00
422,53,34,5,120,120.042500000,0.500000,2,18.957600,20,5.002728700,0.084310,600.635000,0.008204,120.061457600,0.517134,18.957600,0.999999115349,13.728870,0.999999966482,5.334926,0x00/0x00
445,53,36,5,130,130.045500000,0.500000,2,17.352800,20,4.999584700,0.066573,650.260300,0.008922,130.062852800,0.478514,17.352800,0.999999115349,13.728870,0.999999966482,3.738975,0x00/0x00
468,53,38,5,140,140.042500000,0.500000,2,11.372800,20,4.999877400,0.034807,700.252150,0.003380,140.053872800,0.693715,11.372800,0.999999115349,13.728870,0.999999966482,-2.232181,0x00/0x00
491,53,40,5,150,150.050500000,0.500000,2,4.940000,20,4.999992800,0.046551,750.276000,0.007765,150.055440000,0.484961,4.940000,0.999999115349,13.728870,0.999999966482,-8.656127,0x00/0x00
514,53,42,5,160,160.056500000,0.500000,2,4.195200,20,5.000298900,0.048241,800.304050,0.009682,160.060695200,1.023030,4.195200,0.999999115349,13.728870,0.999999966482,-9.392076,0x00/0x00
537,53,44,5,170,170.051500000,0.500000,2,3.698400,20,5.000504500,0.109320,850.264500,0.018247,170.055198400,0.618435,3.698400,0.999999115349,13.728870,0.999999966482,-9.880033,0x00/0x00
560,53,46,5,180,180.055500000,0.500000,2,4.864800,20,5.000532800,0.057933,900.247650,0.007644,180.060364800,0.858763,4.864800,0.999999115349,13.728870,0.999999966482,-8.704783,0x00/0x00
583,53,48,5,190,190.048500000,0.500000,2,3.709600,20,5.000371800,0.046417,950.125450,0.005399,190.052209600,1.667710,3.709600,0.999999115349,13.728870,0.999999966482,-9.851143,0x00/0x00
606,53,50,5,200,200.041500000,0.500000,2,2.694400,20,5.000206200,0.049617,999.996800,0.009086,200.044194400,1.192363,2.694400,0.999999115349,13.728870,0.999999966482,-10.857503,0x00/0x00
