index,tick_ms,status,current_nA,voltage_uV,resistance_mOhm,current_adc_status,voltage_adc_status
1,2163,0,270219,41044,151893,0,0
2,2663,0,270368,41073,151915,0,0
3,3163,0,270070,41032,151933,0,0
4,3663,0,270368,41065,151886,0,0
5,4163,0,270405,41057,151835,0,0
6,4663,0,270293,41037,151825,0,0
7,5163,0,270442,41076,151884,0,0
8,5663,0,270405,41069,151881,0,0
9,6163,0,270368,41070,151904,0,0
10,6663,0,270368,41061,151871,0,0
11,7163,0,270591,41084,151832,0,0
12,7663,0,270554,41087,151863,0,0
13,8163,0,270666,41088,151805,0,0
14,8663,0,270554,41078,151830,0,0
15,9163,0,270405,41076,151905,0,0
16,9663,0,270405,41060,151846,0,0
17,10163,0,270368,41071,151906,0,0
18,10663,0,270591,41077,151805,0,0
19,11163,0,270740,41108,151834,0,0
20,11663,0,270405,41055,151828,0,0
21,12163,0,270591,41084,151832,0,0
22,12663,0,270331,41051,151854,0,0
23,13163,0,270256,41054,151910,0,0
24,13663,0,270554,41086,151859,0,0
25,14163,0,270405,41069,151879,0,0
26,14663,0,270405,41064,151861,0,0
27,15163,0,270293,41046,151858,0,0
28,15663,0,270442,41066,151847,0,0
29,16163,0,270256,41025,151802,0,0
30,16663,0,270256,41036,151841,0,0
