target_mA,I_meas_mA,I_err_uA,V_meas_V,R_meas_Ohm,R_err_ppm
0.50,0.4975,-2.48,0.074656,150.0555,323
1.00,0.9997,-0.25,0.149995,150.0331,174
1.50,1.4976,-2.38,0.224674,150.0211,94
2.00,2.0012,1.17,0.300204,150.0143,49
2.50,2.4978,-2.21,0.374701,150.0130,40
3.00,3.0018,1.76,0.450300,150.0118,32
3.50,3.4996,-0.44,0.524967,150.0096,17
4.00,3.9998,-0.23,0.600005,150.0100,20
4.50,4.4971,-2.89,0.674608,150.0092,15
5.00,4.9998,-0.22,0.750010,150.0087,12
5.50,5.4986,-1.43,0.824831,150.0081,7
6.00,6.0027,2.72,0.900447,150.0064,-4
6.50,6.5003,0.34,0.975090,150.0061,-6
7.00,6.9992,-0.82,1.049926,150.0071,1
7.50,7.4992,-0.79,1.124934,150.0070,0
8.00,8.0023,2.25,1.200391,150.0066,-2
8.50,8.5013,1.31,1.275251,150.0065,-4
9.00,9.0005,0.54,1.350134,150.0058,-8
9.50,9.5002,0.24,1.425090,150.0057,-9
10.00,10.0013,1.31,1.500251,150.0055,-10
10.50,10.5025,2.47,1.575424,150.0051,-12
11.00,11.0020,2.01,1.650357,150.0050,-13
11.50,11.4984,-1.59,1.724819,150.0050,-14
12.00,12.0007,0.70,1.800169,150.0053,-11
12.50,12.4989,-1.10,1.874898,150.0050,-13
13.00,13.0019,1.86,1.950343,150.0050,-13
